time,tita_i_volts,tita_0_kmh,rpm,error_kmh,tita_0c_volts,P_volt,I_volt,D_volt,perturb_rpm
31.5,2.5,43.7274,3012.4274,36.2726,1.824729,0.072545,1.75265,-0.000466,300.0
31.6,2.5,43.8171,3018.3977,36.1829,1.828186,0.072366,1.756269,-0.000448,300.0
31.7,2.5,43.904,3024.209,36.096,1.831636,0.072192,1.759878,-0.000434,300.0
31.8,2.5,43.9885,3029.8912,36.0115,1.83508,0.072023,1.763479,-0.000423,300.0
31.9,2.5,44.0711,3035.468,35.9289,1.838517,0.071858,1.767072,-0.000413,300.0
32.0,2.5,44.1523,3040.9585,35.8477,1.841947,0.071695,1.770657,-0.000406,300.0
32.1,2.5,44.2321,3046.3779,35.7679,1.84537,0.071536,1.774234,-0.000399,300.0
32.2,2.5,44.311,3051.7384,35.689,1.848787,0.071378,1.777803,-0.000394,300.0
32.3,2.5,44.3889,3057.0496,35.6111,1.852196,0.071222,1.781364,-0.00039,300.0
32.4,2.5,44.4662,3062.3192,35.5338,1.855599,0.071068,1.784917,-0.000386,300.0
32.5,2.5,44.5428,3067.5536,35.4572,1.858994,0.070914,1.788463,-0.000383,300.0
32.6,2.5,44.619,3072.7577,35.381,1.862383,0.070762,1.792001,-0.000381,300.0
32.7,2.5,44.6947,3077.9353,35.3053,1.865764,0.070611,1.795532,-0.000378,300.0
32.8,2.5,44.77,3083.0897,35.23,1.869138,0.07046,1.799055,-0.000377,300.0
32.9,2.5,44.8449,3088.2234,35.1551,1.872505,0.07031,1.80257,-0.000375,300.0
33.0,2.5,44.9196,3093.3384,35.0804,1.875866,0.070161,1.806078,-0.000373,300.0
33.1,2.5,44.994,3098.4363,35.006,1.879219,0.070012,1.809579,-0.000372,300.0
33.2,2.5,45.0682,3103.5185,34.9318,1.882565,0.069864,1.813072,-0.000371,300.0
33.3,2.5,45.1421,3108.586,34.8579,1.885904,0.069716,1.816558,-0.00037,300.0
33.4,2.5,45.2158,3113.6396,34.7842,1.889236,0.069568,1.820036,-0.000369,300.0
33.5,2.5,45.2893,3118.6801,34.7107,1.892561,0.069421,1.823507,-0.000368,300.0
33.6,2.5,45.3626,3123.7078,34.6374,1.895879,0.069275,1.826971,-0.000367,300.0
33.7,2.5,45.4357,3128.7233,34.5643,1.89919,0.069129,1.830427,-0.000366,300.0
33.8,2.5,45.5087,3133.727,34.4913,1.902494,0.068983,1.833877,-0.000365,300.0
33.9,2.5,45.5815,3138.719,34.4185,1.905792,0.068837,1.837318,-0.000364,300.0
34.0,2.5,45.6541,3143.6998,34.3459,1.909082,0.068692,1.840753,-0.000363,300.0
34.1,2.5,45.7265,3148.6693,34.2735,1.912365,0.068547,1.84418,-0.000362,300.0
34.2,2.5,45.7988,3153.6279,34.2012,1.915641,0.068402,1.8476,-0.000361,300.0
34.3,2.5,45.871,3158.5756,34.129,1.918911,0.068258,1.851013,-0.000361,300.0
34.4,2.5,45.9429,3163.5125,34.0571,1.922173,0.068114,1.854419,-0.00036,300.0
34.5,2.5,46.0147,3168.4387,33.9853,1.925429,0.067971,1.857818,-0.000359,300.0
34.6,2.5,46.0864,3173.3543,33.9136,1.928678,0.067827,1.861209,-0.000358,300.0
34.7,2.5,46.1579,3178.2595,33.8421,1.93192,0.067684,1.864593,-0.000358,300.0
34.8,2.5,46.2292,3183.1541,33.7708,1.935155,0.067542,1.86797,-0.000357,300.0
34.9,2.5,46.3004,3188.0383,33.6996,1.938383,0.067399,1.87134,-0.000356,300.0
35.0,2.5,46.3715,3192.9121,33.6285,1.941605,0.067257,1.874703,-0.000355,300.0
35.1,2.5,46.4424,3197.7756,33.5576,1.94482,0.067115,1.878059,-0.000354,300.0
35.2,2.5,46.5131,3202.6288,33.4869,1.948028,0.066974,1.881408,-0.000354,300.0
35.3,2.5,46.5837,3207.4716,33.4163,1.951229,0.066833,1.884749,-0.000353,300.0
35.4,2.5,46.6541,3212.3043,33.3459,1.954423,0.066692,1.888084,-0.000352,300.0
35.5,2.5,46.7244,3217.1267,33.2756,1.957611,0.066551,1.891411,-0.000351,300.0
35.6,2.5,46.7946,3221.939,33.2054,1.960792,0.066411,1.894732,-0.000351,300.0
35.7,2.5,46.8646,3226.7411,33.1354,1.963966,0.066271,1.898045,-0.00035,300.0
35.8,2.5,46.9344,3231.533,33.0656,1.967134,0.066131,1.901352,-0.000349,300.0
35.9,2.5,47.0041,3236.3149,32.9959,1.970295,0.065992,1.904652,-0.000349,300.0
36.0,2.5,47.0737,3241.0866,32.9263,1.973449,0.065853,1.907944,-0.000348,300.0
36.1,2.5,47.1431,3245.8483,32.8569,1.976597,0.065714,1.91123,-0.000347,300.0
36.2,2.5,47.2123,3250.5999,32.7877,1.979738,0.065575,1.914509,-0.000346,300.0
36.3,2.5,47.2815,3255.3415,32.7185,1.982872,0.065437,1.91778,-0.000346,300.0
36.4,2.5,47.3504,3260.0732,32.6496,1.986,0.065299,1.921045,-0.000345,300.0
36.5,2.5,47.4192,3264.7948,32.5808,1.989121,0.065162,1.924304,-0.000344,300.0
36.6,2.5,47.4879,3269.5065,32.5121,1.992235,0.065024,1.927555,-0.000343,300.0
36.7,2.5,47.5565,3274.2082,32.4435,1.995343,0.064887,1.930799,-0.000343,300.0
36.8,2.5,47.6248,3278.9001,32.3752,1.998445,0.06475,1.934037,-0.000342,300.0
36.9,2.5,47.6931,3283.582,32.3069,2.00154,0.064614,1.937267,-0.000341,300.0
37.0,2.5,47.7612,3288.2541,32.2388,2.004628,0.064478,1.940491,-0.000341,300.0
37.1,2.5,47.8292,3292.9163,32.1708,2.00771,0.064342,1.943708,-0.00034,300.0
37.2,2.5,47.897,3297.5687,32.103,2.010786,0.064206,1.946919,-0.000339,300.0
37.3,2.5,47.9646,3302.2113,32.0354,2.013854,0.064071,1.950122,-0.000338,300.0
37.4,2.5,48.0322,3306.8441,31.9678,2.016917,0.063936,1.953319,-0.000338,300.0
37.5,2.5,48.0996,3311.4672,31.9004,2.019973,0.063801,1.956509,-0.000337,300.0
37.6,2.5,48.1668,3316.0805,31.8332,2.023022,0.063666,1.959692,-0.000336,300.0
37.7,2.5,48.2339,3320.684,31.7661,2.026066,0.063532,1.962869,-0.000336,300.0
